speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb
NWF089	6B	2	0	0	0	2	0	3	0	3	0	0	3	0	3	3	0	11	1	3	0	0	0	3	3	2	9
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	2	1	1	1	0	0	1	0	2	0	3	0	0	0	0	0	0	0	1	3
NWF089	6B	2	0	1	0	0	0	2	1	2	1	0	0	0	1	3	0	6	0	0	0	0	0	1	0	1	4
NWF089	6B	1	0	0	0	1	0	1	1	1	1	0	0	0	1	2	0	3	0	0	0	0	0	0	1	0	3
NWF089	6B	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NWF089	6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	2	0	0	0	0	0	1	1	1	1	0	0	1	0	2	0	3	0	1	0	0	0	1	0	1	2
NWF089	6B	2	0	0	0	2	0	4	1	3	3	0	0	1	2	4	2	8	1	0	0	0	0	1	0	2	4
NWF089	6B	2	0	0	0	0	0	2	0	1	1	0	0	1	0	1	0	5	0	0	0	0	0	1	2	1	5
NWF089	6B	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	2	0	0	0
NWF089	6B	1	0	1	0	0	0	1	1	1	0	0	0	0	0	2	0	5	0	0	0	0	0	1	1	1	3
NWF089	6B	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1
NWF089	6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	6B	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	3
NWF089	6B	2	0	1	0	1	0	1	3	1	0	0	0	0	0	4	0	10	3	1	0	0	0	2	0	0	3
NWF089	6B	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	1
NWF089	6B	0	1	0	0	1	0	2	2	0	0	0	0	0	0	2	0	5	1	1	0	0	0	0	0	1	2
NWF089	6B	2	0	1	0	1	0	3	2	2	1	0	0	1	0	4	0	10	3	2	0	0	0	2	0	1	5
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1
NWF089	6B	3	0	0	0	2	0	1	1	1	1	0	0	1	0	2	2	7	1	2	0	0	1	2	0	2	3
NWF089	6B	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0
NWF089	6B	0	0	2	0	0	0	1	1	2	0	0	0	0	0	3	1	5	0	1	0	0	0	2	0	0	1
NWF089	6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	1	0	0	1	1	1	0	1	0	1	0	2	1	5	1	0	0	0	0	0	0	0	3
NWF089	6B	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	2	0	1	0	1	1	1	0	2	1	0	0	0	1	2	0	5	1	0	0	0	1	1	1	0	2
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	6B	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
NWF089	6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	2	0	0	0	2	0	1	1	1	1	0	0	1	0	2	0	4	1	2	0	0	0	0	0	1	3
NWF089	6B	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	6B	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NWF089	6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NWF089	6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	1	1	1	1	0	0	0	1	2	0	4	1	0	0	0	0	0	0	0	3
NWF089	6B	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	2	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	1	0	1	1	1	1	0	0	1	0	2	0	3	0	0	0	0	0	1	0	1	3
NWF089	6B	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	4	0	1	0	0	1	1	0	1	3
NWF089	6B	1	0	1	1	0	0	0	1	1	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	1
NWF089	6B	2	0	0	0	0	0	2	0	1	1	0	0	1	0	1	0	3	0	1	0	0	0	1	1	1	3
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	2	1	0	0	1	0	1	2	2	2	0	0	2	0	4	1	12	4	0	1	0	6	2	0	2	3
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	0	0	0	0	0	0	1	2	1	1	0	0	1	0	3	0	5	0	0	0	0	0	1	1	1	5
NWF089	6B	2	0	0	0	0	0	2	1	4	4	0	0	2	2	5	1	12	1	1	0	0	0	1	3	1	8
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	6B	0	0	1	0	3	0	1	1	2	1	0	0	0	1	3	2	8	0	0	0	0	0	0	1	1	5
NWF089	6B	1	0	0	1	0	0	0	1	1	0	1	0	1	0	2	0	4	1	0	0	0	0	1	0	1	2
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0
NWF089	6B	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	4	1	0	0	0	1	1	0	1	1
NWF089	6B	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0
NWF089	6B	2	0	1	0	1	0	2	1	2	1	0	0	0	1	3	3	9	0	0	0	0	0	1	1	1	5
NWF089	6B	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
